"","virus","host","importance_trefle","importance_clover","f_norm_G_trefle","f_norm_G_clover","G_pq_zeta_trefle","G_pq_zeta_clover","G_pq_trefle","G_pq_clover","importance_trefle_nrmlz","importance_clover_nrmlz","f_norm_G_trefle_nrmlz","f_norm_G_clover_nrmlz","G_pq_zeta_trefle_nrmlz","G_pq_zeta_clover_nrmlz","G_pq_trefle_nrmlz","G_pq_clover_nrmlz"
"107","Adelaide River ephemerovirus","Bos taurus",0,241.382327632211,0,-177.318595610879,6.32646086248334e+39,2.3034201820111e-17,6.32646086248334e+39,241.382327632211,0,0.00832418859211284,0,-0.00368036153539819,0.10567396746417,1.25705923960059e-18,0.10567396746417,0.00832418859211284
"262","Adeno-associated dependoparvovirus A","Macaca fascicularis",3.2624768061102e+38,1.86862563319244,-2.61453027415055e+40,-0.0133317058498506,1.29104780886068e+40,-2.02948301933563e-17,1.32367257692178e+40,1.86862563319244,0.0046592667523499,6.44404763651575e-05,-0.0107302948294148,-3.73628638694612e-07,0.21644023242631,8.89198419015886e-19,0.22109949917866,6.44404763651584e-05
"589","African horse sickness virus","Equus quagga burchellii",2.7299512381035e+38,1.57098856739735,-1.64230979532369e+40,-9.64213977567852e-05,8.075630985727e+39,1.11933032287403e-15,8.34862610953735e+39,1.57098856739735,0.00424994757362854,5.41763153887312e-05,-0.0067624436421454,-3.32513971912363e-09,0.135201234224003,1.1163897121786e-18,0.139451181797632,5.41763153887323e-05
"603","African horse sickness virus","Genetta maculata",0,1.37767532749093,0,-6.96597708156332e-05,4.77304897789849e+39,-2.39700048107311e-17,4.77304897789849e+39,1.37767532749093,0,4.75098129893292e-05,0,-2.40225261904925e-09,0.079726569619107,1.18074888944716e-18,0.079726569619107,4.75098129893303e-05
"875","African swine fever virus","Phacochoerus africanus",3.84315529141874e+38,3.15476389674537,-4.30408935476217e+39,-1.20902136880613,1.96006520243555e+39,4.15898453560552e-17,2.34438073157742e+39,3.15476389674537,0.00639980797904706,0.000108793588568381,-0.00207150039614135,-2.90249733470027e-05,0.0327595290558924,2.3856524203402e-18,0.0391593370349395,0.000108793588568384
"896","African swine fever virus","Sus scrofa",0,178.929317253044,0,-149.569111819292,2.26173026255053e+39,-2.00369000540276e-17,2.26173026255053e+39,178.929317253044,0,0.00617046573410197,0,-0.00283316838001424,0.0377787858603262,1.19745386801105e-18,0.0377787858603262,0.00617046573410197
"1235","Aichivirus B","Sus scrofa",0,176.977309096654,0,-148.386277750295,2.9411739086313e+39,9.34821075256579e-18,2.9411739086313e+39,176.977309096654,0,0.00610314977030907,0,-0.00280486304134531,0.0491278651181236,7.04103396651759e-19,0.0491278651181236,0.00610314977030907
"1343","Akabane orthobunyavirus","Alcelaphus buselaphus",0,11.2499143512399,0,-47.7280731214269,9.64260847439362e+39,25.2255226028857,9.64260847439362e+39,36.4754369541255,0,0.000387729231375321,0,-0.000978152445266112,0.161065201594058,0.000870144197737086,0.161065201594058,0.00125787342911241
"1365","Akabane orthobunyavirus","Bos taurus",8.73827438960348e+38,256.418148006378,-6.05559054531848e+40,-488.249423678615,2.98440816572103e+40,170.926871918643,3.07179090961706e+40,427.345019925021,0.0103336090746668,0.00882650460920689,-0.0224021383458677,-0.00992545505350062,0.502762638093432,0.00591069912335584,0.513096247168099,0.0147372037325627
"1474","Akabane orthobunyavirus","Kobus ellipsiprymnus",7.50986372068184e+38,13.4484311366703,-5.35027386558529e+40,-78.5690065212402,2.63784074852825e+40,41.1104613286251,2.71293938573507e+40,54.5588924652954,0.00921181446670161,0.000463120787671032,-0.0179325489344109,-0.00154113541552103,0.443943708995904,0.00141836952155291,0.453155523462606,0.00188149030922395
