"","G_trefle_share","G_clover_share","virus","host"
"107",0.576736558670056,0.00832418859211315,"Adelaide River ephemerovirus","Bos taurus"
"262",0.234517569870612,6.44404763651756e-05,"Adeno-associated dependoparvovirus A","Macaca fascicularis"
"589",0.0398570011252355,5.41763153887507e-05,"African horse sickness virus","Equus quagga burchellii"
"603",0.0139697842736395,4.75098129893487e-05,"African horse sickness virus","Genetta maculata"
"875",0.0457911763789957,0.000108793588568402,"African swine fever virus","Phacochoerus africanus"
"896",0.172602392408827,0.006170465734102,"African swine fever virus","Sus scrofa"
"1235",0.285644378928092,0.00610314977030911,"Aichivirus B","Sus scrofa"
"1343",0.370346504725321,0.00125787342911245,"Akabane orthobunyavirus","Alcelaphus buselaphus"
"1365",0.453894980230316,0.0147372037325632,"Akabane orthobunyavirus","Bos taurus"
"1474",0.430590632399735,0.001881490309224,"Akabane orthobunyavirus","Kobus ellipsiprymnus"
"1538",0.413354996658676,0.00938331245282735,"Akabane orthobunyavirus","Ovis aries"
"1783",0.431011107028106,0.000323358462534195,"Alcelaphine gammaherpesvirus 1","Ammotragus lervia"
"1794",0.535705160779601,0.000175214547618066,"Alcelaphine gammaherpesvirus 1","Axis porcinus"
"1801",0.218814869156909,0.000213630754055887,"Alcelaphine gammaherpesvirus 1","Bison bison"
"1808",0.673669613877934,0.00899135654744132,"Alcelaphine gammaherpesvirus 1","Bos taurus"
"1970",0.260371758239728,0.000306402595719554,"Alcelaphine gammaherpesvirus 1","Odocoileus virginianus"
"2217",0.411690522612758,4.05273926452361e-05,"Allpahuayo mammarenavirus","Oecomys paricola"
"2258",0.234773416188986,0.00187703837477727,"Alphaarterivirus equid","Equus caballus"
"2385",0.461253961602625,0.000353997329803389,"Alphacoronavirus 1","Ailuropoda melanoleuca"
"2417",0.385314936451148,0.00235962462302332,"Alphacoronavirus 1","Canis lupus"
"2418",0.363649120318511,0.0063463669016119,"Alphacoronavirus 1","Canis lupus familiaris"
"2470",0.293107135361591,0.00693126139568818,"Alphacoronavirus 1","Felis catus"
"2472",0.489293367872765,0.00046324491246431,"Alphacoronavirus 1","Felis silvestris"
"2650",0.259742171800019,0.0129317246087857,"Alphacoronavirus 1","Sus scrofa"
"2723",0.523753643516148,0.0895013323081812,"Alphapapillomavirus 10","Homo sapiens"
"2977",0.529906339698824,0.0895013323081812,"Alphapapillomavirus 3","Homo sapiens"
"3007",0.316625359895088,0.0895013323081812,"Alphapapillomavirus 6","Homo sapiens"
"3037",0.0907098052612439,0.0895013323081812,"Alphapapillomavirus 9","Homo sapiens"
"3174",0.0968228844690485,5.45073070193453e-05,"Andes orthohantavirus","Necromys lasiurus"
"3186",0.0673261658344465,5.45073070193453e-05,"Andes orthohantavirus","Oligoryzomys flavescens"
"3188",0.0851350171639796,5.45073070193453e-05,"Andes orthohantavirus","Oligoryzomys fulvescens"
"3306",0.542514052220304,0.0895013323081812,"Anopheles A orthobunyavirus","Homo sapiens"
"3743",0.470118024523432,0.0895013323081812,"Argentinian mammarenavirus","Homo sapiens"
"4001",0.198988518799601,4.78484464252961e-05,"Ateline gammaherpesvirus 3","Aotus trivirgatus"
"4646",0.452404975278616,0.110355762435244,"Avian orthoavulavirus 1","Homo sapiens"
"4698",0.203181919114926,0.0269575798973722,"Avian orthoavulavirus 1","Sus scrofa"
