"","virus","host","X","G_pq_clover_nrmlz","G_pq_trefle_nrmlz","importance_trefle_nrmlz","importance_clover_nrmlz"
"1","Acara orthobunyavirus","Mus musculus",59,0.00224820179221472,0.188637272380559,0.0033284809908026,0.00199337144005368
"2","Acara orthobunyavirus","Nectomys squamipes",65,0.000291782070728559,0.123546984191376,0.00169662447470162,3.68967682353991e-05
"3","Adelaide River ephemerovirus","Bos taurus",107,0.0110720940615671,0.0520070199641101,0.00366904996473065,0.0110720940615671
"4","Adeno-associated dependoparvovirus A","Bos taurus",144,0.0589106259379955,0.425355934796629,0.00553475776070805,0.0115446053932135
"5","Adeno-associated dependoparvovirus A","Capra hircus",157,0.0369448812426518,0.331130031602098,0.00409266590369306,0.00481188017971485
"6","Adeno-associated dependoparvovirus A","Chlorocebus aethiops",183,0.00821195916494032,0.231527455485958,0.00296614050988606,0.000679202391346263
"7","Adeno-associated dependoparvovirus A","Chlorocebus sabaeus",185,0.00193488414845495,0.132929357986724,0.00224006876564045,0.000468671220897307
"8","Adeno-associated dependoparvovirus A","Equus caballus",207,0.042111375711223,0.401033126436474,0.00514488720162304,0.00610627367296211
"9","Adeno-associated dependoparvovirus A","Homo sapiens",240,0.109283132752983,0.471939438608264,0.00639840966723404,0.0381174636399745
"10","Adeno-associated dependoparvovirus A","Macaca fascicularis",262,0.013089129875282,0.394675952057339,0.00503167681855182,0.00100994441448523
"11","Adeno-associated dependoparvovirus A","Macaca mulatta",265,0.0179838129216875,0.380492924690205,0.00480943596716726,0.00149886332901406
"12","Adeno-associated dependoparvovirus A","Macaca nemestrina",266,0.00812180788534708,0.280739566222409,0.00347372793926176,0.00066798561102432
"13","Adeno-associated dependoparvovirus A","Pan troglodytes",324,0.0170882454454517,0.380704791434415,0.00482430210418833,0.0014001847874471
"14","Adeno-associated dependoparvovirus B","Homo sapiens",412,0.0380865773315622,0.0291789496658434,0.00448936382910758,0.0380865773315622
"15","African green monkey polyomavirus","Chlorocebus aethiops",424,0.00307790970957493,0.0388344641599515,0.00113186173764478,0.000276862729106243
"16","African green monkey polyomavirus","Homo sapiens",431,0.0409492259608736,0.0791591441102838,0.00453829545904053,0.0381384506794589
"17","African green monkey simian foamy virus","Chlorocebus aethiops",470,0.000215261080263568,0.0440195493221694,0.00114739086232959,0.000215261080263568
"18","African horse sickness virus","Acinonyx jubatus",500,0.00767535271456875,0.26699140979292,0.00331065259579227,0.00059260183895498
"19","African horse sickness virus","Camelus dromedarius",531,0.0149529392973644,0.351533556816103,0.004381313043271,0.00139078624523792
"20","African horse sickness virus","Canis adustus",532,0.00444459997134604,0.144941965930461,0.00228255461251498,0.000401717363166276
"21","African horse sickness virus","Canis lupus familiaris",536,0.0220617977102035,0.475601795376055,0.00648288936213459,0.00265954476870947
"22","African horse sickness virus","Canis mesomelas",537,0.00516993887738573,0.153352791803345,0.00233405607916928,0.000435661318021856
"23","African horse sickness virus","Capra hircus",539,0.0304235026732815,0.328847605651613,0.00406672876182163,0.00479418030024014
"24","African horse sickness virus","Ceratotherium simum",553,0.00668272938853963,0.239707924194942,0.00302912510134179,0.000523274413411345
"25","African horse sickness virus","Crocuta crocuta",568,0.00487980813426918,0.142253122179839,0.00226698807712611,0.000423216381959183
"26","African horse sickness virus","Diceros bicornis",576,0.00628523844491774,0.233215328119125,0.00296565865492593,0.000498282704932023
"27","African horse sickness virus","Equus asinus",582,0.0101543522589807,0.293472593866805,0.00361637417363275,0.000806253237568456
"28","African horse sickness virus","Equus caballus",583,0.0346583561456965,0.398268869717281,0.00511387160982818,0.00611775030123994
"29","African horse sickness virus","Equus quagga",588,0.00194998987694087,0.163069140707935,0.00240483980734407,0.000326843885814541
"30","African horse sickness virus","Equus quagga burchellii",589,0.00296801422560214,0.178529927976875,0.00251413952220564,0.000351994553998246
"31","African horse sickness virus","Genetta maculata",603,0.00120997227396946,0.0909852624818591,0.00202266574638967,0.000314117767691299
"32","African horse sickness virus","Loxodonta africana",640,0.00783619309556917,0.234020235490724,0.00297425371998714,0.000603547946546057
"33","African horse sickness virus","Lycaon pictus",643,0.00799777630127013,0.231915571971159,0.00295510690722378,0.000615666422864783
"34","African horse sickness virus","Ovis aries",717,0.0331453512226394,0.31608908174749,0.00389924660827129,0.00563356480306547
"35","African horse sickness virus","Panthera leo",721,0.0099791371956222,0.307464255422223,0.00378550086853102,0.000789246226583799
"36","African swine fever virus","Hylochoerus meinertzhageni",843,1.45711555629022e-05,0.00275239557351506,0.0003780606519892,1.45711555629022e-05
"37","African swine fever virus","Phacochoerus aethiopicus",874,0.00130149750500183,0.11292974687839,0.00165783106231709,0.000182787066443102
"38","African swine fever virus","Phacochoerus africanus",875,0.000154155370768229,0.0694859477824535,0.000862921134687944,1.68324720716765e-05
"39","African swine fever virus","Potamochoerus porcus",878,0.000421039356668939,0.0635585468584983,0.000782368642670214,3.18310012707822e-05
"40","African swine fever virus","Sus scrofa",896,0.00815639281911104,0.185184646068866,0.00382531942086844,0.00666381793110386
"41","Aichivirus A","Apodemus agrarius",912,0.00281243697974582,0.154292965786346,0.00190872562770891,0.000225821740982383
"42","Aichivirus A","Canis adustus",924,0.00310403249947445,0.0999305511082711,0.00130927374863077,0.000241574781275698
"43","Aichivirus A","Canis aureus",925,0.00269669307322031,0.0913493901290959,0.00123869496586651,0.000218618613581817
"44","Aichivirus A","Crocuta crocuta",941,0.00340797966252392,0.0980767219834983,0.00129366254517987,0.000261479597854716
"45","Aichivirus A","Felis catus",951,0.0103169719287445,0.265366612481726,0.00390902808508242,0.00117713921083739
"46","Aichivirus A","Homo sapiens",960,0.0628788214900695,0.323136874515734,0.00537795652982342,0.0385012704986244
"47","Aichivirus A","Oryctolagus cuniculus",1025,0.006822668495679,0.276051611171951,0.00415512662977502,0.000597353591067705
"48","Aichivirus A","Peromyscus crinitus",1039,0.000255742384510483,0.0104579679625853,0.000886978368646875,0.00015127743785066
"49","Aichivirus A","Peromyscus maniculatus",1040,0.00398824164246431,0.21270345979075,0.00283004178541774,0.000302421026796869
"50","Aichivirus A","Vulpes vulpes",1080,0.00755574895506706,0.219180606769905,0.00294455605445804,0.000698299403484756
"51","Aichivirus B","Bos taurus",1101,0.03819559442416,0.272056120769135,0.00441826571701986,0.0113527590186326
"52","Aichivirus B","Capra hircus",1111,0.0239585824698366,0.211789573151013,0.0029794347968353,0.00458279749234909
"53","Aichivirus B","Capreolus capreolus",1113,0.0101240910748819,0.165890069521042,0.00212492377828699,0.000973982001533806
"54","Aichivirus B","Mustela putorius",1171,0.00384848819136067,0.132664645833655,0.00163457027392824,0.000301874129084954
"55","Aichivirus B","Ovis aries",1192,0.0261020958811335,0.203572629237625,0.00281207344574327,0.00540577180703705
"56","Aichivirus B","Sus scrofa",1235,0.0295362878314384,0.264523151494735,0.00422103777352251,0.00686215898030339
"57","Aichivirus C","Sus scrofa",1329,0.00662150704493358,0.165867322832509,0.00374962224120742,0.00662150704493358
"58","Akabane orthobunyavirus","Aepyceros melampus",1342,0.0154050741215928,0.17845492514814,0.0023629454694718,0.00147463566050136
"59","Akabane orthobunyavirus","Alcelaphus buselaphus",1343,0.0126875294761494,0.147966378218489,0.00213139060724218,0.00136112288918315
"60","Akabane orthobunyavirus","Antidorcas marsupialis",1348,0.0106798370720983,0.152514395416102,0.00216235841119805,0.00128435935258271
"61","Akabane orthobunyavirus","Bos taurus",1365,0.0920154454380601,0.394601826935175,0.00526760523199415,0.0132909359560518
"62","Akabane orthobunyavirus","Bubalus bubalis",1368,0.0317119185489833,0.349331997617183,0.00447877203256658,0.00260439627609559
"63","Akabane orthobunyavirus","Camelus dromedarius",1373,0.0283735395567798,0.32838043193325,0.00414334576422926,0.00229609882539002
"64","Akabane orthobunyavirus","Capra hircus",1379,0.057723649422855,0.307188650102563,0.00382881236770199,0.00594670519168998
"65","Akabane orthobunyavirus","Ceratotherium simum",1399,0.0126833728708415,0.223919993294228,0.00279184708429844,0.00135101079766004
"66","Akabane orthobunyavirus","Cervus elaphus",1401,0.0395871001901242,0.308943559816599,0.00385564156334606,0.00340102623797287
"67","Akabane orthobunyavirus","Connochaetes taurinus",1414,0.015722975115284,0.158944159114937,0.00221003683269105,0.00148823347690448
"68","Akabane orthobunyavirus","Damaliscus lunatus",1419,0.0095193077741404,0.119569573703227,0.00195355413595324,0.00125177785946276
"69","Akabane orthobunyavirus","Damaliscus pygargus",1420,0.00653826810172434,0.0963904844339469,0.00183510410497914,0.00117303710249912
"70","Akabane orthobunyavirus","Diceros bicornis",1425,0.0119292968773558,0.217855020370859,0.00272844643407461,0.00132346272377634
"71","Akabane orthobunyavirus","Equus caballus",1434,0.0657420214397423,0.372037607583916,0.00487414943133802,0.00726720147079328
"72","Akabane orthobunyavirus","Equus quagga",1439,0.00370083520404429,0.152328885315118,0.00216698661610801,0.00113477712330508
"73","Akabane orthobunyavirus","Equus quagga burchellii",1440,0.00563257192162976,0.166771375663367,0.00227588050468103,0.00116559010702514
"74","Akabane orthobunyavirus","Eudorcas thomsonii",1443,0.00539390936426465,0.142116056691638,0.00209098868590146,0.00115447664551989
"75","Akabane orthobunyavirus","Giraffa camelopardalis",1453,0.0196979085784659,0.314182604177481,0.00392842146374406,0.00169363526969331
"76","Akabane orthobunyavirus","Hippopotamus amphibius",1461,0.00392929582683239,0.128746224238366,0.00200623019490612,0.00113292047619256
"77","Akabane orthobunyavirus","Hippotragus equinus",1466,0.00818074787536111,0.142828026658773,0.00209636774290475,0.00121341278007572
"78","Akabane orthobunyavirus","Hippotragus niger",1467,0.0174250600701138,0.219056623758254,0.00274187343080823,0.00156056112205277
"79","Akabane orthobunyavirus","Kobus ellipsiprymnus",1474,0.015403334062087,0.125443711249387,0.00198646067147629,0.00147611158749009
"80","Akabane orthobunyavirus","Kobus leche",1476,0.00741984349129382,0.105564713633269,0.00187954708237605,0.00119403076838116
"81","Akabane orthobunyavirus","Loxodonta africana",1485,0.0148698342840515,0.218606913967436,0.0027365863564871,0.00143509904852398
"82","Akabane orthobunyavirus","Nanger granti",1519,0.00997463078111154,0.148109621380432,0.00213146825727589,0.00125939343639721
"83","Akabane orthobunyavirus","Oryx gazella",1533,0.0104921222447198,0.104961479652197,0.001876008502504,0.001277805364604
"84","Akabane orthobunyavirus","Ourebia ourebi",1536,0.00381853406258229,0.0736208455025217,0.00174432276944797,0.00113004116575243
"85","Akabane orthobunyavirus","Ovis aries",1538,0.0628878490638056,0.295270443407269,0.00366175568616406,0.00684997302418797
"86","Akabane orthobunyavirus","Phacochoerus aethiopicus",1547,0.0113612506609505,0.233974031089035,0.00289992957351295,0.00130604180511021
