"","virus","host","importance_trefle","importance_clover","f_norm_G_trefle","f_norm_G_clover","G_pq_trefle","G_pq_clover","importance_trefle_nrmlz","importance_clover_nrmlz","f_norm_G_trefle_nrmlz","f_norm_G_clover_nrmlz","G_pq_trefle_nrmlz","G_pq_clover_nrmlz","z_score_G_trefle","z_score_G_clover","z_score_I_trefle","z_score_I_clover"
"58","Acara orthobunyavirus","Mus musculus",0,7251729.56872313,0,-8551933.81993484,1.12838053598715e+66,7917732.80151152,0,0.00516242365247643,0,-0.00143391798304116,0.00966279728254497,0.00563669623677376,-0.543441128366271,0.404256192164359,NA,109.99321863435
"64","Acara orthobunyavirus","Nectomys squamipes",0,78590.2473370577,0,-1406987.53227615,2.64118991076488e+66,745074.079231492,0,5.59258041992687e-05,0,-0.000228360914524828,0.0226176204555825,0.000530424095357206,-0.324800291887882,-0.185245255354491,NA,11.2460126898265
"106","Adelaide River ephemerovirus","Bos taurus",0,58966092.9497072,0,-58770620.6810112,2.03273146962403e+67,58966092.9497072,0,0.041978425208213,0,0.0575635967491337,0.174071348223348,0.041978425208213,2.23131099458909,4.59978303458173,NA,310.73884994876
"143","Adeno-associated dependoparvovirus A","Bos taurus",2.11889278143874e+65,61949188.4998318,-2.73545218303828e+67,-296202751.00198,1.3783551989174e+67,179412123.157087,0.00162102972799699,0.0421092385837969,-0.0040913448565334,0.160848763777391,0.118034354951267,0.12772490115328,1.28556477180456,14.4989169407575,16.7667327229433,245.976929810341
"156","Adeno-associated dependoparvovirus A","Capra hircus",0,27459080.6904316,0,-208361792.279533,8.20204735607329e+66,118060156.671496,0,0.0188484480868179,0,0.0215942164791247,0.0702375824253607,0.0840479538152764,0.478890208481964,9.45656452281233,NA,159.820567974093
"182","Adeno-associated dependoparvovirus A","Chlorocebus aethiops",0,1386220.88873487,0,-26713383.0895767,8.34329534029852e+66,14088640.4256235,0,0.000975585688592228,0,0.000670757402570388,0.0714471483427155,0.0100298138948577,0.499304265888522,0.911426422586636,NA,40.7904122912093
"184","Adeno-associated dependoparvovirus A","Chlorocebus sabaeus",0,991258.466578199,0,-5584525.05510712,6.65136288450037e+66,3301654.8976616,0,0.000705272768308909,0,-1.75221567033645e-05,0.0569584188629629,0.0023504740818258,0.254775422024771,0.0248732169606678,NA,39.7796586955097
"206","Adeno-associated dependoparvovirus A","Equus caballus",0,27719381.4266679,0,-209083410.149933,8.836776315466e+66,118580202.489758,0,0.019040762759919,0,0.0188934125443687,0.0756730335594118,0.0844181785223027,0.5706252763183,9.49930568400683,NA,160.524016408679
"260","Adeno-associated dependoparvovirus A","Macaca fascicularis",0,2344975.41129321,0,-50268898.2106171,1.78950938184864e+64,26360839.4119525,0,0.00162918572323146,0,0.00131825002275576,0.00015324321751871,0.0187664888468053,-0.703935550215357,1.92004531089485,NA,48.656811249006
"263","Adeno-associated dependoparvovirus A","Macaca mulatta",0,3938522.75087636,0,-73731743.0592766,2.69921053779825e+66,38912998.5882478,0,0.00271678419270914,0,0.00261522505214629,0.0231144754963681,0.0277024696592548,-0.316414781697981,2.95167337106289,NA,60.5560732340416
"264","Adeno-associated dependoparvovirus A","Macaca nemestrina",0,1663097.28540967,0,-36065325.417881,2.69921053779825e+66,18903676.0833858,0,0.00116326649503295,0,0.000950129806206235,0.0231144754963681,0.0134576756391765,-0.316414781697981,1.30716119821297,NA,43.3327519108379
"322","Adeno-associated dependoparvovirus A","Pan troglodytes",0,2618027.45293767,0,-54407119.8981972,3.22890423407223e+66,28577749.4271172,0,0.00181621427808727,0,0.00186709557521425,0.0276504654799774,0.020344724517673,-0.239860078401217,2.10224715731746,NA,50.5362245437515
