"","virus","host","importance_trefle","importance_clover","f_norm_G_trefle","f_norm_G_clover","G_pq_trefle","G_pq_clover","importance_trefle_nrmlz","importance_clover_nrmlz","f_norm_G_trefle_nrmlz","f_norm_G_clover_nrmlz","G_pq_trefle_nrmlz","G_pq_clover_nrmlz","z_score_G_trefle","z_score_G_clover","z_score_I_trefle","z_score_I_clover"
"58","Acara orthobunyavirus","Mus musculus",2.96313526985184e+63,7251729.56872313,-4.28356162670053e+67,-8551933.81993484,1.12838053598715e+66,7917732.80151152,2.40289167929494e-07,0.00516242365247643,-0.00658448398687028,-0.00143391798304116,0.00966279728254497,0.00563669623677376,-0.543441128366271,0.404256192164359,-0.527440327878026,109.99321863435
"64","Acara orthobunyavirus","Nectomys squamipes",4.50368657497344e+63,78590.2473370577,-2.81462787171116e+67,-1406987.53227615,2.64118991076488e+66,745074.079231492,-2.77505058952909e-07,5.59258041992687e-05,-0.00318072555256776,-0.000228360914524828,0.0226176204555825,0.000530424095357206,-0.324800291887882,-0.185245255354491,-0.320875392871886,11.2460126898265
"106","Adelaide River ephemerovirus","Bos taurus",1.45568432477822e+64,58966092.9497072,-1.17328031668632e+67,-58770620.6810112,2.03273146962403e+67,58966092.9497072,1.18709004043316e-06,0.041978425208213,-0.00223944127219511,0.0575635967491337,0.174071348223348,0.041978425208213,2.23131099458909,4.59978303458173,1.57382788152669,310.73884994876
"143","Adeno-associated dependoparvovirus A","Bos taurus",8.34169895993057e+64,61949188.4998318,-9.7740717206697e+67,-296202751.00198,1.3783551989174e+67,179412123.157087,1.64877481723946e-05,0.0421092385837969,-0.0181767272280524,0.160848763777391,0.118034354951267,0.12772490115328,1.28556477180456,14.4989169407575,1.27586181609648,245.976929810341
"156","Adeno-associated dependoparvovirus A","Capra hircus",3.9126045620637e+64,27459080.6904316,-7.61774265101728e+67,-208361792.279533,8.20204735607329e+66,118060156.671496,1.06066947844902e-05,0.0188484480868179,-0.0125585617398656,0.0215942164791247,0.0702375824253607,0.0840479538152764,0.478890208481964,9.45656452281233,0.489917498662776,159.820567974093
"182","Adeno-associated dependoparvovirus A","Chlorocebus aethiops",2.66939293155569e+64,1386220.88873487,-5.31471754588722e+67,-26713383.0895767,8.34329534029852e+66,14088640.4256235,-2.42045300320737e-06,0.000975585688592228,-0.00736351850198957,0.000670757402570388,0.0714471483427155,0.0100298138948577,0.499304265888522,0.911426422586636,0.460032118969148,40.7904122912093
"184","Adeno-associated dependoparvovirus A","Chlorocebus sabaeus",1.21515519332024e+64,991258.466578199,-3.04593554191692e+67,-5584525.05510712,6.65136288450037e+66,3301654.8976616,-2.44680466632285e-06,0.000705272768308909,-0.00188253813169581,-1.75221567033645e-05,0.0569584188629629,0.0023504740818258,0.254775422024771,0.0248732169606678,0.215873634882424,39.7796586955097
"206","Adeno-associated dependoparvovirus A","Equus caballus",4.93326532905636e+64,27719381.4266679,-9.13653738659593e+67,-209083410.149933,8.836776315466e+66,118580202.489758,4.23418023115518e-06,0.019040762759919,-0.0170349696309415,0.0188934125443687,0.0756730335594118,0.0844181785223027,0.5706252763183,9.49930568400683,0.550028066681249,160.524016408679
"260","Adeno-associated dependoparvovirus A","Macaca fascicularis",1.01059888304944e+62,2344975.41129321,-9.0571675952046e+67,-50268898.2106171,1.78950938184864e+64,26360839.4119525,2.56016000851108e-08,0.00162918572323146,-0.0165788030872704,0.00131825002275576,0.00015324321751871,0.0187664888468053,-0.703935550215357,1.92004531089485,-0.692250991379728,48.656811249006
"263","Adeno-associated dependoparvovirus A","Macaca mulatta",1.41295982749242e+64,3938522.75087636,-8.73630121144087e+67,-73731743.0592766,2.69921053779825e+66,38912998.5882478,-1.26327776812929e-06,0.00271678419270914,-0.0157017988849475,0.00261522505214629,0.0231144754963681,0.0277024696592548,-0.316414781697981,2.95167337106289,-0.321496367786568,60.5560732340416
"264","Adeno-associated dependoparvovirus A","Macaca nemestrina",1.048582522972e+64,1663097.28540967,-6.45660847202962e+67,-36065325.417881,2.69921053779825e+66,18903676.0833858,-8.35357587044422e-07,0.00116326649503295,-0.00994066827823303,0.000950129806206235,0.0231144754963681,0.0134576756391765,-0.316414781697981,1.30716119821297,-0.319017577489547,43.3327519108379
"322","Adeno-associated dependoparvovirus A","Pan troglodytes",1.68353749119846e+64,2618027.45293767,-8.66341638038441e+67,-54407119.8981972,3.22890423407223e+66,28577749.4271172,-8.20501175519822e-07,0.00181621427808727,-0.0157755892833222,0.00186709557521425,0.0276504654799774,0.020344724517673,-0.239860078401217,2.10224715731746,-0.248829449326641,50.5362245437515
